Source,Target,Attributes
398.0,1797.0,{'Weight': 1.0}
398.0,10707.0,{'Weight': 1.0}
398.0,10342.0,{'Weight': 1.0}
398.0,9606.0,{'Weight': 1.0}
399.0,16021.0,{'Weight': 1.0}
400.0,5521.0,{'Weight': 1.0}
33169.0,9982.0,{'Weight': 1.0}
33169.0,27511.0,{'Weight': 1.0}
33169.0,34562.0,{'Weight': 1.0}
33165.0,24766.0,{'Weight': 1.0}
33171.0,32738.0,{'Weight': 1.0}
33172.0,2246.0,{'Weight': 1.0}
405.0,1252.0,{'Weight': 1.0}
405.0,4478.0,{'Weight': 1.0}
405.0,11766.0,{'Weight': 1.0}
405.0,20034.0,{'Weight': 1.0}
406.0,5999.0,{'Weight': 1.0}
406.0,8649.0,{'Weight': 1.0}
406.0,14646.0,{'Weight': 1.0}
407.0,10674.0,{'Weight': 1.0}
407.0,12599.0,{'Weight': 1.0}
407.0,5746.0,{'Weight': 1.0}
408.0,27594.0,{'Weight': 1.0}
408.0,13305.0,{'Weight': 1.0}
408.0,28791.0,{'Weight': 1.0}
33177.0,1018.0,{'Weight': 1.0}
33178.0,9195.0,{'Weight': 1.0}
33178.0,15631.0,{'Weight': 1.0}
33178.0,23152.0,{'Weight': 1.0}
411.0,2929.0,{'Weight': 1.0}
411.0,12468.0,{'Weight': 1.0}
411.0,21394.0,{'Weight': 1.0}
