source,target,distance_ft,edge_type
P_457,T_7965,168.33317601102095,power_to_transport
P_458,T_20598,121.14000176464025,power_to_transport
P_459,T_10158,149.82189772645708,power_to_transport
P_460,T_8876,193.712833205953,power_to_transport
P_33225,T_6419,30.387761257318086,power_to_transport
P_33230,T_2023,18.8157496635845,power_to_transport
P_464,T_13503,50.51637358885477,power_to_transport
P_469,T_14508,65.44410963866842,power_to_transport
P_470,T_17087,182.05204632857277,power_to_transport
P_33238,T_8429,34.36801518040263,power_to_transport
P_473,T_624,266.0277656627313,power_to_transport
P_33242,T_10044,74.3682246268704,power_to_transport
P_474,T_3325,20.61610678377318,power_to_transport
P_476,T_8859,124.52056107684693,power_to_transport
P_477,T_6287,243.54866133781377,power_to_transport
P_478,T_6119,28.859852657618585,power_to_transport
P_479,T_1070,217.97455504497168,power_to_transport
P_33245,T_11524,112.43606131300415,power_to_transport
P_481,T_13117,28.07468956191231,power_to_transport
P_482,T_985,32.19249917165696,power_to_transport
P_475,T_3325,23.884246446280628,power_to_transport
P_480,T_16887,187.9763851210093,power_to_transport
P_33253,T_12450,172.8972364554505,power_to_transport
P_33254,T_1999,45.72945597547438,power_to_transport
P_486,T_9039,31.2255140321853,power_to_transport
P_483,T_17063,24.119224203159515,power_to_transport
P_488,T_15976,35.018613620198295,power_to_transport
P_491,T_10137,153.82345633689962,power_to_transport
P_492,T_10137,20.90602157182436,power_to_transport
P_33261,T_13008,112.64642507910526,power_to_transport
P_33259,T_6718,88.22172087169618,power_to_transport
P_33263,T_6752,114.49961192985387,power_to_transport
P_496,T_3848,169.24784906887294,power_to_transport
P_497,T_287,246.67554792548165,power_to_transport
P_33262,T_20769,53.8765695950162,power_to_transport
P_499,T_21017,71.88038846316364,power_to_transport
P_500,T_4703,25.50472521884619,power_to_transport
P_501,T_15124,146.5331346083633,power_to_transport
P_33267,T_13625,155.47718347089986,power_to_transport
P_33271,T_306,7.924482557321773,power_to_transport
P_33272,T_5095,142.06256898710987,power_to_transport
P_505,T_8858,140.15426824569417,power_to_transport
P_33273,T_10631,76.89438274421744,power_to_transport
P_33275,T_17281,472.5002395061913,power_to_transport
P_33274,T_17894,419.6785727693123,power_to_transport
P_508,T_3698,42.28773106631809,power_to_transport
P_510,T_3626,14.15265986272798,power_to_transport
P_511,T_25,24.47461223793154,power_to_transport
P_512,T_12063,26.461149578459498,power_to_transport
P_33281,T_12304,129.332547435729,power_to_transport
P_33282,T_459,228.97956430441096,power_to_transport
P_517,T_13903,197.50768205537636,power_to_transport
P_518,T_13104,43.98006910237625,power_to_transport
P_33289,T_6998,29.144019652226742,power_to_transport
P_33290,T_3280,101.79749238269969,power_to_transport
P_33291,T_11777,327.52217714640284,power_to_transport
P_33293,T_7965,36.63750231833485,power_to_transport
P_33295,T_14532,166.0358889634628,power_to_transport
P_33296,T_18214,32.22222755578255,power_to_transport
P_532,T_19566,41.26074662844857,power_to_transport
P_536,T_10614,24.10599124769366,power_to_transport
P_537,T_14832,50.03182686275067,power_to_transport
P_539,T_7304,27.6491314579599,power_to_transport
P_33308,T_17982,181.41903936277953,power_to_transport
P_33307,T_5640,52.4049655348833,power_to_transport
P_542,T_9207,156.55783937320027,power_to_transport
P_543,T_5672,113.22167070878821,power_to_transport
P_33312,T_7588,147.647233230106,power_to_transport
P_544,T_6720,145.72343306185462,power_to_transport
P_33309,T_1390,86.39271786487377,power_to_transport
P_541,T_5071,141.13564668560974,power_to_transport
P_551,T_6277,155.76981951173624,power_to_transport
P_33319,T_792,315.1922457528406,power_to_transport
P_33321,T_99,73.95038300184798,power_to_transport
P_33323,T_258,126.61613999734966,power_to_transport
P_556,T_16845,104.65113660524005,power_to_transport
P_33325,T_2343,242.09580485989005,power_to_transport
P_33326,T_12209,133.86382402912793,power_to_transport
P_558,T_16323,59.23780826072104,power_to_transport
P_560,T_13682,35.26661464417321,power_to_transport
P_33329,T_7199,146.77441331635941,power_to_transport
P_33330,T_21064,19.37853178863966,power_to_transport
P_565,T_13451,157.28845969631485,power_to_transport
P_566,T_12894,29.502032258333287,power_to_transport
P_567,T_19494,26.491253289579156,power_to_transport
P_568,T_12398,56.38873872067915,power_to_transport
P_573,T_21189,35.31477106640471,power_to_transport
P_33342,T_2202,164.1987019216002,power_to_transport
P_574,T_21189,20.048814200060143,power_to_transport
P_576,T_7729,206.72446527574505,power_to_transport
P_577,T_1565,41.674640608274586,power_to_transport
P_33346,T_15002,290.4869968964072,power_to_transport
P_579,T_2572,141.41839404423294,power_to_transport
P_580,T_2572,22.790628761516754,power_to_transport
P_581,T_9077,233.1489436808517,power_to_transport
P_582,T_3262,45.68449125143725,power_to_transport
P_583,T_6606,349.46328658694637,power_to_transport
P_33351,T_13601,21.14711534757307,power_to_transport
P_33352,T_9323,56.50138463180723,power_to_transport
P_33356,T_11047,150.75332016444193,power_to_transport
P_589,T_8472,20.579646931242216,power_to_transport
P_33357,T_3803,216.22172837068163,power_to_transport
P_591,T_20068,300.2261789708696,power_to_transport
P_592,T_717,109.13344891113393,power_to_transport
P_593,T_3746,157.012218267693,power_to_transport
P_33361,T_7677,199.77672469316994,power_to_transport
P_33362,T_7677,47.069449592410784,power_to_transport
P_596,T_7966,15.192674948584399,power_to_transport
P_33364,T_7878,182.90705025059913,power_to_transport
P_33366,T_7210,89.42125427602603,power_to_transport
P_595,T_17037,117.45688109591072,power_to_transport
P_600,T_8245,329.77899751294456,power_to_transport
P_598,T_6180,57.10681037779893,power_to_transport
P_33370,T_10184,16.317842874068557,power_to_transport
P_603,T_17277,168.9563025404298,power_to_transport
P_604,T_17277,169.62330013300365,power_to_transport
P_33373,T_1496,109.33558898764555,power_to_transport
P_33365,T_11340,132.9669606485036,power_to_transport
P_33375,T_11005,55.10369449381744,power_to_transport
P_33376,T_11005,46.90534847512656,power_to_transport
P_610,T_330,191.7676003205146,power_to_transport
P_611,T_8791,217.7642529704358,power_to_transport
P_33378,T_13359,122.45406890240709,power_to_transport
P_612,T_1882,113.31444466825548,power_to_transport
P_613,T_20981,30.204988082846967,power_to_transport
P_615,T_424,29.42471565157449,power_to_transport
P_33384,T_12693,43.55880057473976,power_to_transport
P_33385,T_13226,129.6513816861425,power_to_transport
P_618,T_8980,19.415614347371314,power_to_transport
P_33386,T_7857,89.9582932479162,power_to_transport
P_620,T_12458,113.7033707824585,power_to_transport
P_622,T_14731,17.119990490576466,power_to_transport
P_623,T_6674,111.26393625446113,power_to_transport
P_624,T_14249,139.39563501376074,power_to_transport
P_33393,T_15665,185.31583516227386,power_to_transport
P_33394,T_657,51.87923680550691,power_to_transport
P_33396,T_18107,93.31362181191915,power_to_transport
P_629,T_12908,24.558596590164214,power_to_transport
P_630,T_330,130.9592283015196,power_to_transport
P_632,T_330,186.91688995883308,power_to_transport
P_633,T_17204,24.662035302123556,power_to_transport
P_634,T_11612,13.52667087515787,power_to_transport
P_635,T_11612,87.2491960552877,power_to_transport
P_636,T_6266,27.027914598716407,power_to_transport
P_637,T_6394,22.510101473948904,power_to_transport
P_33403,T_9691,204.8255676578894,power_to_transport
P_641,T_14838,134.96185260829736,power_to_transport
P_33410,T_392,28.46680610967018,power_to_transport
P_33411,T_18066,61.396507509643165,power_to_transport
P_33412,T_1114,333.19354976672497,power_to_transport
P_33413,T_13288,124.63486773845565,power_to_transport
P_33414,T_11845,175.91810921062634,power_to_transport
P_647,T_14750,29.169281797078266,power_to_transport
P_33416,T_13734,44.821914403733004,power_to_transport
P_33417,T_13734,149.2871764489905,power_to_transport
P_33418,T_1473,58.90082684430795,power_to_transport
P_33419,T_15830,78.30198776153279,power_to_transport
P_33420,T_6056,135.56359817645907,power_to_transport
P_652,T_21080,71.33986399735983,power_to_transport
P_650,T_394,28.258578017525338,power_to_transport
P_649,T_16482,294.1766592488938,power_to_transport
P_33424,T_10354,157.26745424857907,power_to_transport
P_657,T_8504,182.58451549355354,power_to_transport
P_653,T_3187,300.68957565956265,power_to_transport
P_661,T_1091,22.693035861969296,power_to_transport
P_665,T_8467,210.02620660721064,power_to_transport
P_666,T_21165,14.232713063988223,power_to_transport
P_33435,T_4996,448.7460331392999,power_to_transport
P_667,T_2317,24.797597742946635,power_to_transport
P_670,T_12703,52.35147908404403,power_to_transport
P_672,T_21071,127.99933854900853,power_to_transport
P_673,T_9901,280.3543408056063,power_to_transport
P_675,T_8599,41.41033409275812,power_to_transport
P_33444,T_4529,16.754461070969946,power_to_transport
P_676,T_5620,23.017874809485463,power_to_transport
P_678,T_16586,30.91628326255138,power_to_transport
P_33446,T_17514,26.921046303569636,power_to_transport
P_680,T_7831,196.23033119387907,power_to_transport
P_33449,T_4304,18.18418192356734,power_to_transport
P_33450,T_2397,288.1497833061559,power_to_transport
P_33451,T_287,101.7173511134556,power_to_transport
P_684,T_12876,33.34882023514916,power_to_transport
P_33453,T_11774,114.67589203227972,power_to_transport
P_685,T_12876,34.976490149100165,power_to_transport
P_686,T_5188,124.61999208802767,power_to_transport
P_687,T_8323,23.758646213775233,power_to_transport
P_688,T_342,24.213060771810966,power_to_transport
P_683,T_4480,27.565562714628626,power_to_transport
P_33456,T_8182,86.33749658260123,power_to_transport
P_692,T_7639,268.2594087966957,power_to_transport
P_693,T_13099,20.391301103623896,power_to_transport
P_33463,T_12482,80.37748082031142,power_to_transport
P_697,T_5522,10.94514966120956,power_to_transport
P_698,T_5621,27.73440146885261,power_to_transport
P_33467,T_11157,62.78935032480604,power_to_transport
P_33466,T_12545,112.0637638127412,power_to_transport
