Node ID,Longitude,Latitude,Degree Centrality
170,1280729.71046025,275034.756493673,4.0
171,1264958.1405881,256952.308411166,4.0
172,1265288.06122844,256943.776891157,4.0
173,1259254.25437427,211145.917708263,4.0
174,1258928.14480592,211153.105356261,4.0
175,1267045.12235023,266826.329029277,4.0
176,1267048.67582224,267157.805381611,3.0
177,1268605.79934384,230121.900767684,4.0
178,1268928.17694417,230113.763999686,4.0
179,1256268.74326721,237184.078246921,1.0
180,1256273.2337632,237345.08906307802,3.0
181,1266453.41284563,227664.082845166,4.0
182,1266226.6938694,227870.505373389,4.0
183,1255616.55824253,210587.041227683,4.0
184,1255285.88995419,210598.314827695,4.0
185,1268898.14552014,254213.515320361,4.0
186,1268902.42276815,254477.183736622,5.0
187,1255407.24893032,258198.797372445,4.0
188,1255079.59574598,258214.809788451,1.0
189,1276301.07627971,265258.702851668,4.0
190,1276632.77048805,265247.812803656,3.0
191,1257392.51267636,241084.258090913,4.0
192,1257396.05405235,241201.171243027,3.0
193,1276780.9621042,267851.166214317,3.0
194,1277212.38085665,267460.401541919,3.0
195,1264704.14833184,249662.072947696,4.0
196,1264455.25706759,249709.06501174,4.0
197,1284829.67468844,196327.831229076,4.0
198,1284825.84198445,195963.298812702,1.0
199,1272929.66699627,268932.71354343,3.0
200,1272807.71218014,269254.396295756,3.0
201,1267566.30366278,254242.185528383,4.0
202,1267571.34635077,254506.137080655,4.0
203,1269108.91083235,273547.760780156,2.0
204,1269248.5939685,273545.121996149,2.0
205,1263902.16829902,275697.976974353,3.0
206,1263905.77981903,275847.116110504,1.0
207,1283322.19379091,271013.689417556,2.0
208,1283089.70342267,271810.450250372,3.0
209,1285276.7859849,187535.758260086,4.0
210,1285303.72755294,187534.997108072,3.0
211,1252643.02019149,237537.500135288,3.0
212,1252334.24195117,237864.672039613,4.0
213,1258389.45718938,193259.14085793504,3.0
214,1258363.56291735,192603.186105266,3.0
215,1272234.48792355,239077.257832855,4.0
216,1272900.20837224,240350.108970165,4.0
217,1257046.966116,252397.156406492,4.0
218,1257058.92675601,253057.077687174,4.0
219,1272767.9543561,247459.440881446,4.0
220,1273438.45598878,247439.566897422,3.0
221,1284244.68831985,199447.878464282,3.0
222,1284241.75916785,199241.687296063,4.0
223,1262725.32292181,260986.9804793,3.0
224,1262584.74640967,260990.464383304,3.0
225,1255188.2628181,200903.786945775,2.0
