Node ID,Longitude,Latitude
319,1267575.54942279,189001.198901579
320,1278967.97317845,179412.024491757
321,1279806.76741931,179406.70788376
322,1272998.52152434,192761.953849435
323,1272988.50117232,192162.954680815
324,1273568.74546091,283458.316054299
325,1273772.30635713,283448.097302288
326,1277231.12396067,229510.68969506
327,1277402.08255285,229506.704799056
328,1282382.70316595,281526.143764332
329,1282382.88889395,282112.898516923
330,1277446.44172089,176461.450664744
331,1277436.98604088,176017.840680286
332,1284279.37100789,201862.135426745
333,1284274.73350388,201536.872002423
334,1256378.51209931,191967.406904623
335,1256411.59011535,191289.267127916
336,1257447.87773241,190642.838007256
337,1257456.81603642,189904.169846505
338,1271622.29528293,225342.298778787
339,1271466.34283477,225605.664411068
340,1256233.67869116,251223.321525291
341,1255563.68105848,251229.0350613
342,1277295.27832873,263903.880770281
343,1256426.80400336,205931.08167091
344,1256105.98377904,205943.834630936
345,1292385.86887218,186108.49073861502
346,1292367.65728816,185438.830385938
347,1259633.64829464,247734.430513725
348,1259639.46717465,248017.00805001
349,1285314.62912095,257737.550267965
350,1285362.333057,258416.643388659
351,1285257.01568088,244540.88273444804
352,1285262.80768089,245200.360111132
353,1266748.57534194,233089.124514729
354,1267070.45694226,233080.91587472
355,1256307.98563524,195514.808572248
356,1256302.42691524,195314.88639605
357,1269298.63224055,278730.970193461
358,1269771.88395303,278723.644433454
359,1262064.28253713,189803.961078405
360,1261695.93322477,189809.565046415
361,1265299.62513246,280002.885650769
362,1265815.39742097,279988.021842748
363,1266177.79991736,174929.147943169
364,1266006.17687717,174929.697511166
365,1271883.53291519,231297.731424898
366,1271888.02238719,231603.05334520302
367,1274130.4621335,190030.23256664
368,1274179.19499755,189677.760502279
369,1270424.67492969,274729.535949364
370,1270756.92101003,274724.504141361
371,1271075.48568237,248046.229746044
372,1271438.86974673,248035.366578028
373,1274268.64037363,259352.550973624
374,1274270.37854964,259683.771133959
375,1261768.42717683,265437.196291849
376,1261458.53143252,265446.037827864
377,1276039.51608744,220853.143062204
378,1276350.46463177,220846.391766191
379,1277615.54636106,232783.297378406
380,1277912.32402536,232775.428962409
381,1283070.97311865,252521.099382624
382,1283068.69196665,253181.110583305
383,1263313.31057042,248469.24856247
384,1263325.08906643,249002.108083025
385,1252428.75356726,214820.537360013
386,1252421.85167927,214739.283599943
387,1255252.56944217,236153.93891786
388,1255269.04157017,236553.273766279
389,1263631.26986673,199628.698944464
390,1263616.49271473,199070.942207888
391,1254709.46294561,203031.283395946
392,1254698.72476959,202702.723331615
393,1277756.7232572,236154.740069866
394,1277866.49567331,236306.955302015
395,1270694.24363397,244460.160814375
396,1270708.24920198,244857.596718773
397,1265295.24785244,279597.910738349
398,1264635.03530777,279616.65121837
399,1280908.49094044,263513.984897882
400,1281068.6552926,263449.07328181
401,1253983.31184086,251334.928885415
402,1253990.96144088,251776.016885862
403,1262664.78756176,166508.893790543
404,1262502.48215358,166334.272414371
405,1269215.58187246,224984.423514426
406,1268998.64561623,225351.006106809
407,1264488.84362762,275868.04123053
408,1263931.49994706,276285.286158964
409,1259260.46301426,216050.79771328
410,1258934.30883794,216064.797969297
411,1265401.62366055,234665.511780336
412,1265701.59518087,234658.856292337
413,1271813.20101112,275361.899214014
414,1272017.50872333,275531.346382186
415,1264006.30391513,189239.119349822
